,favorites,retweets,tweets
0,7,0,@_ElizabethMay I think JR needs Robin Williams to tell him it’s not his fault nine times
1,673,84,"Yeah, it seems like most of the #ParklandStudents weren’t regularly beaten. 
That’s not about to change.… https://t.co/hUu9fSxwB6"
2,99,25,"The question this brought up for me is: what do you call PTSD when it’s not “post”, and possibly never will be? Ms.… https://t.co/REnxePEqsC"
3,3,0,"@caseyjohnston I love them. Just wanna sit, relax, maybe write - they’re the exact size of the cubicles we worked i… https://t.co/YFAnNslxc1"
4,232,8,"@whedonesque How nice to see this. Took twice as long to write as Dr Horrible, ffs. This was my Guffman-esque amate… https://t.co/Feg4tZ2u98"
5,487,15,@BBW_BFF The conceptual artists and animators on Ultron worked really hard to give our robot the Spader Gaze. It’s unique.
6,1026,292,"Unarmed with his pants down. 
In a wheelchair.
Running away (not from a crime scene). 
Sitting in a car with a woma… https://t.co/5PCOtEB0lZ"
7,847,90,"if Calvin &amp; Hobbes is such “great art”, how come Hobbes has such a shitty stunt double https://t.co/fo7ZnKd17w"
8,744,143,"Allow me to be the last person left who hasn’t retweeted this, in case ANYONE hasn’t seen it. (And her point about… https://t.co/kkYntIusdL"
9,1472,55,"Last stop in DC: the National Portrait Gallery, to pay my nothing-but-respects https://t.co/U6w9boLk4V"
10,1340,228,"This is so the doctor can tell if she suffers from hysteria, which is cured with heavy doses of mercury https://t.co/rDQAR4astZ"
11,2132,216,Saw the White House for the first time! Do the Obamas know they have squatters?
12,840,354,Spent the weekend making this with Sarah Ullman - please share or RT cuz this is where the moment becomes the movem… https://t.co/0sGUkO79PN
13,264,59,"At LAST! Garfunkel &amp; Oats return - with a song of UNITY, for EVERYONE to enjoy, it’s WHOLESOME content, I’m saying… https://t.co/V5H35uhQcx"
14,6,0,"@Theremina Yeah, just to meet him and ask about Evil Dead, the ultimate experience in grueling horror 🤩😍"
15,3237,225,Just took this. So what’s on TV tonight? https://t.co/T8OgJn74Dn
16,198,1,@SarahWatson42 @antoniopedreir4 Made my day.
17,12341,2930,WHY IS I HAVE A EYE MOISTURE? #MarchForOurLives https://t.co/ifessp6slB
18,2970,451,The tiny speck is Congress. The stuff everywhere is us. What a day. #MarchForOurLives #NeverAgain https://t.co/7PFi7U1kc4
19,132,8,@clarkgregg I hope so! I’ll be the one going “we didn’t get it! Make her cry again!” which is how I understand documentaries are made...?
20,1507,239,"Draylen Mason. One of the kids I march for. I know, he wasn’t shot. But a violent white kid felt entitled to take h… https://t.co/YqVq99OiLA"
21,1788,145,In DC to film the March For Our Lives tomorrow - Looking foreward to being inspired/afraid of crowds! (with filmmak… https://t.co/UNdUJJVM8Q
22,1305,68,"He helped end slavery and I did punch up on “The Quick and the Dead” so, basically, twinsies #activisitourism https://t.co/oghiILeOTj"
23,3527,618,"“My Friend Dahmer” should get way more love.  It’s subtle and creepy and achingly sad. So well acted, and - don’t w… https://t.co/cO03be7PsG"
24,822,104,See THE DEATH OF STALIN cuz it’s hilarious &amp; idiotic &amp; dark &amp; true. Pretty much everyone in it gives a career best… https://t.co/4kOSFhxJn9
25,3,0,"@sammynickalls @kyliesparks Where are they?!?! This is LA, so they’re probably here somewhere sometimes...?"
26,476,89,"I’ll be in DC this Saturday. Here’s why. Wherever you are, get out there and make yourself heard. This is the momen… https://t.co/NQbGeJb4Ku"
27,429,58,"Let’s stop assuming promising young men like this are terrorists! Let’s just call this random group, say... Ivory S… https://t.co/8bn1INL3KP"
28,1444,137,this idea is flawless and important https://t.co/0CGROkIUsL
29,879,82,Please god let there be one scene of him yelling “Fuck it! We’ll do it live” or I’m just gonna sob till I’m a moist… https://t.co/0nAdVAXcsI
30,23,0,"@OhNoSheTwitnt @blainecapatch Well if you start on the others, I think you can do a lot with our first porn star president, Millard Fillmore"
31,110,5,"@AndrewNadeau0 Sir, you have crossed a line. 
Gotta be sharks."
32,4240,680,"The second thing:
HOW RIDICULOUSLY GREAT @SarahMGellar IS https://t.co/4gUa6I7Ek0"
33,4755,927,"Going through old episodes of Buffy, I’m struck by two things: 
The first is how weirdly topicaI I wish this show h… https://t.co/n4wXiyITu8"
34,191,7,"Once Upon a Time in the West
(Honorable Mention: *takes nine hours*) https://t.co/HWSzClBufb"
35,692,81,"Man, last night’s fact checking was out of CONTROL! We did WAY too many stats. Walter got into Trotsky’s Wikipedia… https://t.co/XIUkpK5aAv"
36,270,23,"No, @OhNoSheTwitnt, Hope is meant to be with Mooch-eye! Also 😂💕 https://t.co/HkAKue1LEB"
37,5831,814,TV fantasy was all fisheye lenses and purple gels. With a budget of zero dollars DP (later director) MICHAEL GERSHM… https://t.co/VGWqC1qSLu
38,1531,112,"In a perfect world I wouldn’t know Dana Loesch exists, but in this one can Bill Hader come back to SNL to play her?"
39,133,13,This tweet is the only thing I have ever enjoyed about this “holiday” https://t.co/qyGjs4FJEk
40,2,0,@Ruby_Stevens Seems like it should never be watched any other way. Also should there be a book about America called “Beautiful Ruin”?
41,76,3,@Ruby_Stevens His movies were anthropological masterpieces - he dissected not only society but society as it would… https://t.co/zEF2ZgYL9l
42,84,1,@Allison_Tolman I think the entire last century converges on the axis of that musical. It’s the beginning of the mo… https://t.co/VdS0TzmjM6
43,730,71,"At the Hamilton High walkout today - compassion in action. Here we go...
#MarchForOurLives #NeverAgain #VoteThemOut… https://t.co/EZ45vjLyeT"
44,48,1,@OhNoSheTwitnt @ColinHanks SO CREEPY
45,374,14,"Okay, my “how could I forget” 2nd top 5 one word movies list

Mulan 
Brazil
Unbreakable 
Fargo
Casablanca/Tremors (… https://t.co/RAXGtM3dlL"
46,469,52,There’s no one I regret not getting to work with more. What a great clip. https://t.co/0wrQKRNJyy
47,644,28,"The One
The Power of One
On(c)e
One of my Wives is Missing (TV moviOH! Wait. Shit. 

Alien
Magnolia
Psycho
Bedazzle… https://t.co/I0HjnNtUyW"
48,348,77,"Oh, who among us hasn’t poisoned someone with our own bodily waste and then bragged about it on instagram? Brianna… https://t.co/2cLo7mPQNs"
49,122,8,"@LibyaLiberty I’ve never felt the urge to do needlepoint until now. Thank you. 

wait what IS the opposite of anxie… https://t.co/kMktJyMGrW"
50,91,2,@TriciaLockwood What does it say about me that I read that as the kill him fan club no wait I’m cool not knowing
51,1337,74,I’ll do it https://t.co/8v1kQOJvO2
52,1077,56,"JEWEL IS ALL OF US well, me, anyway @JewelStaite https://t.co/MMyCMnhRB2"
53,11048,3337,"Wait, was anyone else in the running? https://t.co/Gz4iMjZY7x"
54,955,257,NEVER AGAIN AND AGAIN AND AGAIN AND AGAIN AND https://t.co/tVclKOdr2z
55,62,0,@MattOswaltVA “Well I’M for it!” - Hudsucker Proxy
56,195,25,"This is amazing, especially for those of us old enough to remember how Martha Mitchell was ridiculed as a boozy old… https://t.co/kkDHegmja5"
57,24,0,"@MiaFarrow @carlbernstein @RonanFarrow I think they team up in “2 Great 2 Gregarious” (ya boi is killin it, as if you didn’t know)"
58,1183,157,"Just listen to the opening monologue in Beaty &amp; the Beast. Or, like some of us, listen to it obsessively and memori… https://t.co/cXXCk5ynrC"
59,949,104,So grateful the Florida senate took a moment today to be extra thinky and pray-y #VoteThemOut #ParklandStrong #BlueTsunami
60,157,2,@Ruby_Stevens I was IN that dust and I thought it was awesome. #schooled
61,4893,660,Trump: Why don’t people talk about crooked Hillary’s pizza murders? Did Obama get the hook for the Russian meddling… https://t.co/dmoTcx8oM3
62,42,0,@rianjohnson I didn’t completely buy the idea of the solution.  Then I grew up around other people
63,207,3,"@rianjohnson That’s the one I read as a kid. And the cover fits. Creepy, nihilistic little piece. Really shaped me."
64,17,3,"@SquirlWhisperer @thesillysully You are very right, that was dazzlingly tone-deaf. Let me say instead that she made… https://t.co/58trBk8B1G"
