,favorites,retweets,tweets
0,77768,20142,Washington spent trillions building up foreign countries while allowing OUR OWN infrastructure to fall into a state… https://t.co/TkcOWOL5tf
1,54721,13576,"JOBS, JOBS, JOBS! Unemployment claims have fallen to a 45-year low. Together, we are making the economy great again! https://t.co/pN2TE5HDQm"
2,56292,12957,"We are going to REBUILD our crumbling infrastructure, and there is no better place to begin this campaign than in t… https://t.co/5tbcDBRyqP"
3,112181,29793,"I have stated my concerns with Amazon long before the Election. Unlike others, they pay little or no taxes to state… https://t.co/ONyVYY2yMe"
4,41577,8845,"....In the interim, Hon. Robert Wilkie of DOD will serve as Acting Secretary. I am thankful for Dr. David Shulkin’s… https://t.co/YTgVqILsvk"
5,70404,15958,"I am pleased to announce that I intend to nominate highly respected Admiral Ronny L. Jackson, MD, as the new Secret… https://t.co/YiQiyG8Xi2"
6,107273,29594,Great briefing this afternoon on the start of our Southern Border WALL! https://t.co/pmCNoxxlkH
7,60533,13918,....release known dangerous criminals into communities across the State. All citizens have the right to be protecte… https://t.co/K12LPpU2cX
8,103159,25230,My Administration stands in solidarity with the brave citizens in Orange County defending their rights against Cali… https://t.co/SSxUNFRYf3
9,50015,11445,.@USTradeRep just announced an agreement in principle with South Korea on KORUS! A great deal for American and Kore… https://t.co/JoVzyixLJJ
10,97884,23457,Received message last night from XI JINPING of China that his meeting with KIM JONG UN went very well and that KIM… https://t.co/HA84eyjSV3
11,107985,25630,"For years and through many administrations, everyone said that peace and the denuclearization of the Korean Peninsu… https://t.co/1CEbFJYjfG"
12,182484,56429,"THE SECOND AMENDMENT WILL NEVER BE REPEALED! As much as Democrats would like to see this happen, and despite the wo… https://t.co/JhWsWonTUw"
13,64874,15056,I am very pleased to welcome the opioid memorial to the President's Park in April. I encourage all to visit and rem… https://t.co/Q8lkH5IdnS
14,101663,20756,"Trade talks going on with numerous countries that, for many years, have not treated the United States fairly. In the end, all will be happy!"
15,67104,15511,Great news! #MAGA https://t.co/mRQGRJkozC
16,130681,27117,"So much Fake News. Never been more voluminous or more inaccurate. But through it all, our country is doing great!"
17,95929,19440,The economy is looking really good. It has been many years that we have seen these kind of numbers. The underlying… https://t.co/8sWXaR8gR8
18,73131,20198,.@HowieCarrShow just wrote a book which everyone is talking about. He was a great help. He is a veteran journalist… https://t.co/yZX6N0gS4M
19,49978,11194,"“President Donald J. Trump Proclaims March 25, 2018, as Greek Independence Day: A National Day of Celebration of Gr… https://t.co/5xHxd4dTEc"
20,63225,14801,Happy National #MedalOfHonorDay to our HEROES. We love you! https://t.co/6euI31R4Gz
21,80578,17693,"....lawyer or law firm will take months to get up to speed (if for no other reason than they can bill more), which… https://t.co/VNRpirZlPZ"
22,65059,14153,Many lawyers and top law firms want to represent me in the Russia case...don’t believe the Fake News narrative that… https://t.co/KKFpwlHShL
23,78511,19494,Much can be done with the $1.6 Billion given to building and fixing the border wall. It is just a down payment. Wor… https://t.co/XKkvhIVsRN
24,114814,30699,"Because of the $700 &amp; $716 Billion Dollars gotten to rebuild our Military, many jobs are created and our Military i… https://t.co/sF9ouOGHwl"
25,81536,19539,France honors a great hero. Officer died after bravely swapping places with hostage in ISIS related terror attack.… https://t.co/e1AvHzZxiL
26,81824,15661,"Our thoughts and prayers are with the victims of the horrible attack in France yesterday, and we grieve the nation’… https://t.co/OrSJZR27tY"
27,70369,19281,As a matter of National Security I've signed the Omnibus Spending Bill. I say to Congress: I will NEVER sign anothe… https://t.co/0uoQ7HfCVF
28,80628,17056,"Obama Administration legalized bump stocks. BAD IDEA. As I promised, today the Department of Justice will issue the… https://t.co/gm8BSGsnKT"
29,46666,9643,News conference at the White House concerning the Omnibus Spending Bill.  1:00 P.M.
30,155080,37458,"I am considering a VETO of the Omnibus Spending Bill based on the fact that the 800,000 plus DACA recipients have b… https://t.co/qhwYMqKLGO"
31,72079,16329,DACA was abandoned by the Democrats. Very unfair to them! Would have been tied to desperately needed Wall.
