"","resRA","rrr","Vmag","SAO"
"1",0.086083333,45.22916667,6.7,36042
"2",0.084388889,-0.503055556,6.29,128569
"3",0.088916667,-5.7075,4.61,128572
"4",0.095,13.39611111,5.51,91701
"5",0.104444444,58.43666667,5.96,21085
"6",0.105277778,-49.075,5.7,214963
"7",0.107361111,64.19611111,5.59,10978
"8",0.110222222,29.02138889,6.13,73743
"9",0.113916667,-23.1075,6.18,166053
"10",0.121722222,-17.38638889,6.19,147090
"11",0.128916667,-2.548888889,6.43,128595
"12",0.129666667,-22.50888889,5.94,166066
"13",0.134305556,-33.52944444,5.68,192367
"14",0.136694444,-2.447777778,6.07,128602
"15",0.139805556,29.09055556,2.06,73765
"16",0.138166667,-8.823888889,5.99,128604
"17",0.144722222,36.62666667,6.19,53677
"18",0.142611111,-17.5775,6.06,147103
"19",0.147833333,25.46277778,6.23,73769
"20",0.155611111,79.71472222,6.01,4048
"21",0.152972222,59.14972222,2.27,21133
"22",0.150666667,18.21194444,5.53,91734
"23",0.150666667,-54.00194444,6.33,231943
"24",0.155833333,-27.98777778,5.42,166083
"25",0.156861111,-45.7475,3.88,214983
"26",0.167305556,11.14555556,5.51,91750
"27",0.172027778,46.07222222,5.03,36123
"28",0.174916667,57.16555556,6.74,21162
"29",0.171888889,-5.248611111,5.84,128621
"30",0.16725,-82.22388889,5.28,258215
"31",0.178555556,-12.58,5.85,147127
"32",0.177388889,-73.22444444,6.64,255642
"33",0.18775,-15.46805556,4.89,147133
"34",0.192888889,-27.79972222,5.41,166103
"35",0.195555556,-35.13305556,5.25,192388
"36",0.19975,48.1525,6.16,36148
"37",0.202777778,-17.93833333,5.25,147144
"38",0.214,37.69333333,6.73,53725
"39",0.220611111,15.18361111,2.83,91781
"40",0.223333333,26.98722222,6.3,73823
"41",0.225222222,41.03527778,5.72,36173
"42",0.228361111,-26.02194444,5.94,166130
"43",0.228944444,-26.28472222,6.31,166131
"44",0.233972222,33.20611111,6.25,53744
"45",0.243388889,20.20666667,4.8,91792
"46",0.241,-7.780555556,5.12,128655
"47",0.222055556,-84.99416667,5.77,258217
"48",0.244,-18.93277778,4.44,147169
"49",0.248916667,22.28416667,6.24,73838
"50",0.249666667,8.820833333,5.79,109087
"51",0.248472222,-9.569722222,5.75,128660
"52",0.251944444,31.53583333,6.45,53755
"53",0.252944444,27.28305556,6.35,73842
"54",0.2495,-34.90444444,6.17,192418
"55",0.270555556,76.95083333,6.35,4071
"56",0.272666667,43.59472222,6.15,36221
"57",0.269138889,-31.44638889,5.67,192430
"58",0.265333333,-75.91138889,6.49,255650
"59",0.276138889,8.24,6.11,109100
"60",0.282527778,61.53333333,5.74,11084
"61",0.278472222,-20.21055556,6.47,166167
"62",0.285861111,47.9475,5.89,36236
"63",0.284861111,38.68166667,4.61,53777
"64",0.280277778,-78.78055556,6.77,255652
"65",0.295277778,51.43305556,6.14,21273
"66",0.292388889,-19.05111111,6.45,147205
"67",0.296583333,1.688888889,6.17,109119
"68",0.305472222,36.78527778,4.52,53798
"69",0.304777778,11.20583333,6.05,91832
"70",0.311694444,43.79111111,6.11,36256
"71",0.310638889,31.51722222,5.87,53803
"72",0.311611111,-8.052777778,6.46,128690
"73",0.311833333,-43.23527778,6.33,215047
"74",0.323805556,-8.823888889,3.56,128694
"75",0.328222222,40.72972222,6.33,36269
"76",0.334777778,48.86527778,6.52,36272
"77",0.334527778,-64.87472222,4.23,248163
